               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              0.0273,            0.019907,                   0,             0.79554,             0.70301,             0.77025,             0.53479,            0.029007,            0.013998,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.027297,            0.019951,                   0,             0.78379,              0.7213,             0.77084,             0.53571,            0.029003,            0.013991,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.027099,             0.01966,                   0,             0.77037,             0.71679,             0.76297,              0.5364,            0.028654,            0.014275,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.026956,            0.019519,                   0,             0.77873,             0.74804,             0.78001,             0.54294,            0.029012,            0.013695,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.026868,            0.019518,                   0,             0.77516,             0.71145,             0.76318,             0.53494,            0.028807,            0.014587,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.026581,             0.01929,                   0,             0.79312,             0.70962,             0.76813,             0.53689,            0.028788,            0.014304,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.026567,            0.019319,                   0,             0.80013,             0.71719,             0.77117,             0.54044,            0.028588,            0.014074,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.026424,            0.019284,                   0,             0.78362,              0.7221,             0.77099,             0.53829,              0.0289,            0.014298,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.026159,            0.019232,                   0,             0.79098,             0.71843,             0.77087,             0.53924,            0.028814,            0.014164,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.026156,            0.018812,                   0,             0.80012,             0.71861,             0.77437,             0.54134,            0.028845,            0.014135,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.026021,            0.019063,                   0,             0.79855,             0.71512,             0.77192,             0.53845,             0.02884,            0.014207,                   0,            0.000496,            0.000496,            0.000496
